Column1,id,geometry,x,y,,,,Typ budovy,,,,Pocet-bytov
142,17361,POINT (21.2254603 48.7110853),21.2254603,48.7110853,,,,Rodinny dom,,,,1
143,17328,POINT (21.2261898 48.7087219),21.2261898,48.7087219,,,,Rodinny dom,,,,1
144,17311,POINT (21.2259172 48.7094644),21.2259172,48.7094644,,,,Rodinny dom,,,,1
145,17312,POINT (21.2259399 48.7094025),21.2259399,48.7094025,,,,Rodinny dom,,,,1
146,17315,POINT (21.2259626 48.7093407),21.2259626,48.7093407,,,,Rodinny dom,,,,1
147,17316,POINT (21.2260308 48.709155),21.2260308,48.709155,,,,Rodinny dom,,,,1
148,17319,POINT (21.2260535 48.7090932),21.2260535,48.7090932,,,,Rodinny dom,,,,1
149,17320,POINT (21.2260762 48.7090313),21.2260762,48.7090313,,,,Rodinny dom,,,,1
150,17323,POINT (21.226099 48.7089694),21.226099,48.7089694,,,,Rodinny dom,,,,1
151,17324,POINT (21.2261217 48.7089075),21.2261217,48.7089075,,,,Rodinny dom,,,,1
152,17326,POINT (21.2261444 48.7088457),21.2261444,48.7088457,,,,Rodinny dom,,,,1
153,17330,POINT (21.226258 48.7085363),21.226258,48.7085363,,,,Rodinny dom,,,,1
154,17256,POINT (21.2230829 48.7080882),21.2230829,48.7080882,,,,Rodinny dom,,,,1
155,17331,POINT (21.2262807 48.7084744),21.2262807,48.7084744,,,,Rodinny dom,,,,1
156,17341,POINT (21.2663755 48.7596303),21.2663755,48.7596303,,,,Bytovy dom,,,,10
157,17346,POINT (21.2263415 48.708427),21.2263415,48.708427,,,,Rodinny dom,,,,1
158,17347,POINT (21.2264637 48.7083891),21.2264637,48.7083891,,,,Rodinny dom,,,,1
159,17350,POINT (21.2253949 48.7116554),21.2253949,48.7116554,,,,Rodinny dom,,,,1
160,17353,POINT (21.2254263 48.7115737),21.2254263,48.7115737,,,,Rodinny dom,,,,1
161,17355,POINT (21.2254891 48.7114101),21.2254891,48.7114101,,,,Rodinny dom,,,,1
162,17356,POINT (21.2254819 48.7113289),21.2254819,48.7113289,,,,Rodinny dom,,,,1
163,17359,POINT (21.2254747 48.7112477),21.2254747,48.7112477,,,,Rodinny dom,,,,1
164,17310,POINT (21.2258813 48.7097236),21.2258813,48.7097236,,,,Rodinny dom,,,,1
165,17308,POINT (21.2258307 48.7098916),21.2258307,48.7098916,,,,Rodinny dom,,,,1
166,17306,POINT (21.2258764 48.7102982),21.2258764,48.7102982,,,,Rodinny dom,,,,1
167,17305,POINT (21.2258856 48.7103795),21.2258856,48.7103795,,,,Rodinny dom,,,,1
168,17259,POINT (21.3044311 48.6759402),21.3044311,48.6759402,,,,Bytovy dom,,,,23
169,17260,POINT (21.3045976 48.6758181),21.3045976,48.6758181,,,,Bytovy dom,,,,23
170,17263,POINT (21.2230689 48.7079286),21.2230689,48.7079286,,,,Rodinny dom,,,,1
171,17266,POINT (21.2230478 48.7078452),21.2230478,48.7078452,,,,Rodinny dom,,,,1
172,17269,POINT (21.2228618 48.7076857),21.2228618,48.7076857,,,,Rodinny dom,,,,1
173,17270,POINT (21.2234757 48.7123185),21.2234757,48.7123185,,,,Rodinny dom,,,,1
174,17273,POINT (21.2222668 48.7100926),21.2222668,48.7100926,,,,Rodinny dom,,,,1
175,17274,POINT (21.2222568 48.710028),21.2222568,48.710028,,,,Rodinny dom,,,,1
176,17277,POINT (21.2221515 48.7093566),21.2221515,48.7093566,,,,Rodinny dom,,,,1
177,17278,POINT (21.2222065 48.7097656),21.2222065,48.7097656,,,,Rodinny dom,,,,1
178,17280,POINT (21.2225464 48.7112766),21.2225464,48.7112766,,,,Rodinny dom,,,,1
179,17285,POINT (21.2221306 48.7071073),21.2221306,48.7071073,,,,Rodinny dom,,,,1
180,17287,POINT (21.2221809 48.70956),21.2221809,48.70956,,,,Rodinny dom,,,,1
181,17290,POINT (21.2207346 48.7064144),21.2207346,48.7064144,,,,Rodinny dom,,,,1
182,17291,POINT (21.2225555 48.71158),21.2225555,48.71158,,,,Rodinny dom,,,,1
183,17292,POINT (21.2205372 48.7089441),21.2205372,48.7089441,,,,Rodinny dom,,,,1
184,17295,POINT (21.2262353 48.7085982),21.2262353,48.7085982,,,,Rodinny dom,,,,1
185,17300,POINT (21.2248656 48.7126475),21.2248656,48.7126475,,,,Rodinny dom,,,,1
186,17301,POINT (21.2248605 48.7127597),21.2248605,48.7127597,,,,Rodinny dom,,,,1
